,company,model,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine,seats
44,Maruti,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Manual,First,23,998,5
45,Toyota,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Manual,First,12,2982,7
46,Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Manual,First,12,2494,7
47,Mercedes-Benz,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Automatic,Second,14,2143,5
48,Honda,Honda Amaze S Diesel,2015,425000,49800,Diesel,Manual,First,24,1498,5
49,Mitsubishi,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Manual,First,13,2477,7
50,Honda,Honda City i DTEC S,2015,600000,54700,Diesel,Manual,First,26,1498,5
51,Maruti,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Manual,First,20,1462,5
52,Honda,Honda Jazz VX Diesel,2015,525000,63000,Diesel,Manual,First,27,1498,5
53,Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Automatic,Second,11,2755,7
54,Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Manual,First,12,2494,7
55,Audi,Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Automatic,Second,17,1968,5
56,Toyota,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Automatic,First,14,1798,5
57,Audi,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Automatic,First,18,1968,5
58,Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Automatic,First,14,2143,5
59,Tata,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Manual,First,21,1248,5
60,Hyundai,Hyundai i10 Magna,2011,190000,110000,Petrol,Manual,Third,20,1197,5
61,Hyundai,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Manual,First,21,1396,5
62,Maruti,Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Manual,Second,26,1248,5
63,Ford,Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Manual,Third,18,1196,5
64,Maruti,Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Manual,First,21,1197,5
65,Volkswagen,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Manual,First,22,1498,5
66,Honda,Honda City i DTEC VX,2015,630000,135000,Diesel,Manual,First,25,1498,5
67,Maruti,Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Automatic,First,20,998,5
68,Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Manual,First,21,1498,5
69,Maruti,Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Manual,First,24,1248,5
70,Maruti,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Automatic,First,24,1248,5
71,Hyundai,Hyundai i10 Magna,2011,235000,60000,Petrol,Manual,Second,20,1197,5
72,Maruti,Maruti Swift VDI Deca,2016,630000,70000,Diesel,Manual,First,25,1248,5
73,Toyota,Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Manual,Second,12,2982,7
74,Maruti,Maruti Swift Star VDI,2013,450000,120000,Diesel,Manual,Second,22,1248,5
75,Maruti,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Manual,Second,16,1373,7
76,Volkswagen,Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Manual,First,20,1598,5
77,Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Manual,First,12,2494,8
78,Ford,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Manual,First,22,1498,5
79,BMW,BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Automatic,Second,15,1998,5
80,Maruti,Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Manual,First,23,998,5
81,Datsun,Datsun GO A Petrol,2016,275000,49000,Petrol,Manual,First,19,1198,5
82,Maruti,Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Manual,First,24,796,5
83,Maruti,Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Manual,First,24,796,5
84,Hyundai,Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Manual,First,19,1086,5
85,Maruti,Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Manual,First,14,796,5
86,Maruti,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Manual,First,26,998,5
87,Volkswagen,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Manual,First,16,1198,5
88,Hyundai,Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Manual,Second,19,1086,5
89,Volkswagen,Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Manual,Second,15,1598,5
90,Maruti,Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Manual,First,18,998,5
91,Hyundai,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Manual,First,18,1197,5
92,Maruti,Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Manual,First,26,1248,5
93,Hyundai,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Automatic,First,19,1197,5
94,Maruti,Maruti Alto LX BSIII,2008,120000,68000,Petrol,Manual,Third,19,796,5
95,Hyundai,Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Manual,First,22,1396,5
96,Maruti,Maruti Wagon R VXI,2009,185000,77000,Petrol,Manual,Second,21,998,5
97,Tata,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Manual,Second,18,1248,5
98,Maruti,Maruti Swift VXI,2019,615000,10000,Petrol,Manual,First,21,1197,5
99,Maruti,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Manual,Third,15,1196,7
100,Maruti,Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Manual,First,21,1197,5
101,Mahindra,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Automatic,Second,11,2179,8
102,Ford,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Manual,Second,19,1194,5
103,Hyundai,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Manual,First,17,1591,5
104,Volkswagen,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Manual,First,14,1798,5
105,Tata,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Manual,First,15,1172,5
106,Mahindra,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Manual,First,15,2179,7
107,Tata,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Manual,First,19,1405,5
108,Hyundai,Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Manual,Second,22,1582,5
109,Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Manual,First,21,1396,5
110,Toyota,Toyota Corolla Altis G,2009,300000,100000,Petrol,Manual,Second,14,1798,5
111,Maruti,Maruti Celerio VXI,2020,475000,13000,Petrol,Manual,First,21,998,5
112,Maruti,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Manual,First,24,1248,5
113,Maruti,Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Manual,First,20,1197,5
114,Maruti,Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Manual,First,20,998,5
115,Nissan,Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Manual,Third,20,1461,5
116,Hyundai,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Manual,First,19,1582,5
117,Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Manual,First,23,1498,5
118,Maruti,Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Manual,Fourth,19,1248,5
119,Renault,Renault KWID 1.0,2018,350000,25000,Petrol,Manual,First,23,999,5
120,Maruti,Maruti Celerio VXI,2015,360000,40000,Petrol,Manual,Second,23,998,5
121,Maruti,Maruti Alto LXi,2008,105000,65000,Petrol,Manual,Fourth,19,796,5
122,Maruti,Maruti Ertiga VDI,2013,625000,90000,Diesel,Manual,Second,20,1248,7
123,Hyundai,Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Manual,Second,17,1086,5
124,Maruti,Maruti Ertiga VDI,2015,700000,110000,Diesel,Manual,Second,20,1248,7
125,Honda,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Manual,First,17,1198,5
126,Audi,Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Automatic,First,17,1968,5
127,Lexus,Lexus ES 300h,2019,5150000,20000,Petrol,Automatic,First,22,2487,5
128,Jaguar,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Automatic,First,19,1999,5
129,Jeep,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Automatic,First,9,3604,5
130,Land,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Automatic,First,12,1999,7
131,Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Automatic,First,13,2987,5
132,BMW,BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Automatic,First,22,1995,5
133,BMW,BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Automatic,First,16,1995,5
134,Skoda,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Automatic,First,14,1798,5
135,Mercedes-Benz,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Automatic,First,15,2143,5
136,MG,MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Automatic,First,13,1451,5
137,Honda,Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Automatic,First,18,1497,5
138,Toyota,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Automatic,First,14,1798,5
139,Volvo,Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Automatic,First,18,1969,5
140,Audi,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Automatic,First,12,2967,7
141,Maruti,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Manual,First,26,1248,5
142,Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Automatic,First,13,2987,5
143,BMW,BMW 5 Series 523i,2010,975000,72200,Petrol,Automatic,Second,10,2497,5
144,Hyundai,Hyundai Elantra S,2016,805000,49900,Petrol,Manual,First,16,1797,5
145,Jaguar,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Automatic,First,13,1999,5
146,Tata,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Manual,First,17,1198,5
147,Volkswagen,Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Manual,First,15,1598,5
148,Hyundai,Hyundai Elantra SX,2012,550000,95000,Petrol,Manual,First,16,1797,5
149,Skoda,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Automatic,First,14,1598,5
150,Mercedes-Benz,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Automatic,First,15,1991,5
151,Maruti,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Manual,First,16,1373,7
152,Mercedes-Benz,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Automatic,First,14,1991,5
153,Honda,Honda City V AT,2017,875000,18000,Petrol,Automatic,First,15,1497,5
154,Toyota,Toyota Glanza V CVT,2019,894999,9654,Petrol,Automatic,First,19,1197,5
155,Maruti,Maruti Alto K10 VXI,2011,175000,11000,Petrol,Manual,First,23,998,5
156,Maruti,Maruti Swift VXI,2012,340000,24300,Petrol,Manual,First,21,1197,5
157,Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Automatic,Second,11,2755,7
158,Tata,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Automatic,First,21,1497,5
159,BMW,BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Automatic,First,22,1995,5
160,Toyota,Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Automatic,First,19,2494,5
161,BMW,BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Automatic,First,18,1995,5
162,Toyota,Toyota Camry W4 (AT),2009,450000,71000,Petrol,Automatic,First,12,2362,5
163,Maruti,Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Manual,First,17,1373,7
164,Volvo,Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,Petrol,Automatic,First,42,1969,4
165,Volkswagen,Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Manual,Second,20,1598,5
166,Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Manual,First,18,1196,5
167,Ford,Ford Figo Diesel LXI,2011,160000,120000,Diesel,Manual,First,20,1399,5
168,Maruti,Maruti Swift VXI Optional,2015,515000,36600,Petrol,Manual,First,20,1197,5
169,Maruti,Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Automatic,Second,20,998,5
170,Hyundai,Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Manual,Second,18,1197,5
171,Maruti,Maruti 800 Std,1999,40000,40000,Petrol,Manual,Second,16,796,4
172,Maruti,Maruti Ritz VDi,2010,220000,120000,Diesel,Manual,First,21,1248,5
173,Hyundai,Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Manual,First,18,1197,5
174,Volkswagen,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Manual,First,19,999,5
175,Hyundai,Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Manual,Second,18,1197,5
176,Maruti,Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Manual,First,19,1197,5
177,Hyundai,Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Manual,Second,19,1197,5
178,Honda,Honda City 1.5 EXI,2005,100000,120000,Petrol,Manual,Second,13,1493,5
179,Toyota,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,Diesel,Manual,First,21,1364,5
180,Daewoo,Daewoo Matiz SD,2000,100000,60000,Petrol,Manual,First,18,796,5
181,Toyota,Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Manual,Second,13,2982,7
182,Mahindra,Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Manual,Second,18,1198,6
183,Tata,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,Diesel,Manual,First,22,1248,5
184,Honda,Honda City 1.5 S MT,2009,345000,47000,Petrol,Manual,Second,17,1497,5
185,Maruti,Maruti Zen LXI,2005,85000,90000,Petrol,Manual,First,17,993,5
186,Maruti,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,Petrol,Manual,Second,18,998,5
187,Hyundai,Hyundai Verna Transform SX VTVT,2010,320000,100000,Petrol,Manual,Third,16,1599,5
188,Maruti,Maruti Swift Dzire VXI,2016,459999,60000,Petrol,Manual,Second,20,1197,5
189,Hyundai,Hyundai Getz GLS,2005,65000,86000,Petrol,Manual,First,15,1341,5
190,Hyundai,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,Petrol,Manual,First,18,1197,5
191,Maruti,Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Manual,First,28,1248,5
192,Tata,Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Petrol,Manual,First,20,1199,5
193,Maruti,Maruti Ertiga VDI,2015,580000,70000,Diesel,Manual,First,20,1248,7
194,Honda,Honda City i VTEC S,2015,600000,50000,Petrol,Manual,First,17,1497,5
195,Honda,Honda Brio S MT,2014,290000,60000,Petrol,Manual,Second,19,1198,5
196,Maruti,Maruti Wagon R LXI CNG,2016,360000,50000,CNG,Manual,First,26,998,5
197,Maruti,Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Manual,First,20,1197,5
198,Hyundai,Hyundai i20 Sportz 1.2,2013,375000,70000,Petrol,Manual,First,18,1197,5
199,Maruti,Maruti Wagon R AMT VXI,2018,420000,35000,Petrol,Automatic,First,20,998,5
200,Maruti,Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Manual,First,21,1197,5
201,Maruti,Maruti Alto 800 LXI,2018,270000,20000,Petrol,Manual,First,24,796,5
202,Maruti,Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Automatic,First,22,1197,5
203,Maruti,Maruti Swift VXI Optional,2017,500000,20000,Petrol,Manual,First,20,1197,5
204,Tata,Tata Hexa XE,2019,1250000,15000,Diesel,Manual,First,17,2179,7
205,Hyundai,Hyundai i20 Magna,2013,320000,31377,Petrol,Manual,Second,18,1197,5
206,Maruti,Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Manual,First,28,1248,5
207,Maruti,Maruti Wagon R VXI BS IV,2015,290000,60000,Petrol,Manual,First,20,998,5
208,Toyota,Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Petrol,Automatic,First,14,1794,5
209,Honda,Honda Brio S MT,2012,265000,60000,Petrol,Manual,First,19,1198,5
210,Maruti,Maruti Baleno Alpha Automatic,2018,830000,5000,Petrol,Automatic,First,21,1197,5
211,Tata,Tata Safari Storme EX,2017,800000,60000,Diesel,Manual,First,14,2179,7
212,Maruti,Maruti Alto LXi,2011,160000,25000,Petrol,Manual,Second,19,796,5
213,Renault,Renault KWID RXT,2018,335000,30000,Petrol,Manual,First,25,799,5
214,Datsun,Datsun GO T BSIV,2017,329000,80000,Petrol,Manual,Second,20,1198,5
215,Maruti,Maruti Vitara Brezza VDi Option,2017,775000,75000,Diesel,Manual,First,24,1248,5
216,Hyundai,Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Petrol,Manual,First,20,1197,5
217,Maruti,Maruti Alto 800 LXI,2015,245000,40000,Petrol,Manual,First,22,796,5
218,Hyundai,Hyundai i20 1.2 Sportz,2012,275000,93000,Petrol,Manual,Second,17,1197,5
219,Tata,Tata Zest Revotron 1.2 XT,2018,520000,60000,Petrol,Manual,First,17,1193,5
220,Nissan,Nissan Sunny XL,2014,550000,37000,Petrol,Manual,First,16,1498,5
221,Ford,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,15000,Petrol,Manual,First,17,1497,5
222,Nissan,Nissan Micra Active XV S,2015,300000,80000,Petrol,Manual,First,19,1198,5
223,Maruti,Maruti Wagon R LXI Optional,2016,350000,140000,Petrol,Manual,First,20,998,5
224,Mahindra,Mahindra Ssangyong Rexton RX5,2013,900000,70000,Diesel,Manual,First,12,2696,7
225,Mahindra,Mahindra Quanto C8,2013,300000,120000,Diesel,Manual,Second,17,1493,7
226,Maruti,Maruti Ritz LDi,2010,250000,110000,Diesel,Manual,Second,21,1248,5
227,Hyundai,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,37000,Diesel,Manual,First,19,1582,5
228,Renault,Renault KWID RXT,2016,270000,44000,Petrol,Manual,First,25,799,5
229,Maruti,Maruti Ertiga VDI,2015,640000,80000,Diesel,Manual,First,20,1248,7
230,Mahindra,Mahindra XUV500 W4,2015,650000,125000,Diesel,Manual,First,15,2179,7
231,Maruti,Maruti Eeco 5 Seater AC BSIV,2017,409999,13500,Petrol,Manual,First,15,1196,5
232,Hyundai,Hyundai Santro Xing GLS,2011,165000,75000,Petrol,Manual,First,17,1086,5
233,Hyundai,Hyundai Aent GLE,2007,80000,120000,Petrol,Manual,Second,13,1495,5
234,Mahindra,Mahindra XUV500 W8 2WD,2012,535000,120000,Diesel,Manual,First,15,2179,7
235,Toyota,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,70000,Diesel,Manual,First,12,2494,7
236,Maruti,Maruti Swift Dzire VDI,2013,550000,70000,Diesel,Manual,First,23,1248,5
237,Honda,Honda Amaze S CVT Petrol BSIV,2019,680000,15000,Petrol,Automatic,First,19,1199,5
238,Hyundai,Hyundai i10 Sportz 1.2,2009,200000,53000,Petrol,Manual,Second,20,1197,5
239,Maruti,Maruti Swift Dzire VDI,2014,500000,120000,Diesel,Manual,Second,23,1248,5
240,Maruti,Maruti Ertiga SHVS ZDI Plus,2016,1000000,70000,Diesel,Manual,First,24,1248,7
241,Hyundai,Hyundai Getz 1.3 GVS,2008,110000,120000,Petrol,Manual,Second,14,1341,5
242,Hyundai,Hyundai i20 1.2 Magna,2012,320000,100000,Petrol,Manual,Second,18,1197,5
243,Maruti,Maruti Swift LXI Optional-O,2015,350000,100000,Petrol,Manual,First,20,1197,5
244,Tata,Tata Indica Vista TDI LS,2013,170000,162500,Diesel,Manual,First,19,1405,5
245,Hyundai,Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,39000,Diesel,Manual,First,22,1396,5
246,Maruti,Maruti Ignis 1.3 Alpha,2017,500000,75000,Diesel,Manual,First,26,1248,5
247,Tata,Tata Hexa XTA,2017,1380000,50000,Diesel,Automatic,First,17,2179,7
248,Mahindra,Mahindra Marazzo M6 8Str,2019,1300000,40000,Diesel,Manual,First,17,1497,8
249,Hyundai,Hyundai Verna 1.6 CRDI,2013,530000,92500,Diesel,Manual,First,22,1582,5
250,Maruti,Maruti Swift Dzire VDI,2012,360000,158000,Diesel,Manual,First,23,1248,5
251,Maruti,Maruti Swift Dzire LDi,2012,310000,120000,Diesel,Manual,First,19,1248,5
252,Honda,Honda City i DTEC V,2015,725000,50000,Diesel,Manual,Second,26,1498,5
253,Maruti,Maruti Swift Dzire ZDi,2012,340000,110000,Diesel,Manual,First,19,1248,5
254,Hyundai,Hyundai Xcent 1.2 CRDi E,2017,550000,2000,Diesel,Manual,Second,25,1186,5
255,Toyota,Toyota Fortuner 3.0 Diesel,2011,1150000,181000,Diesel,Manual,Second,11,2982,7
256,Tata,Tata Tiago 1.05 Revotorq XZ,2016,380000,70000,Diesel,Manual,First,27,1047,5
257,Nissan,Nissan Sunny XL AT Special Edition,2013,350000,90000,Petrol,Automatic,Second,17,1498,5
258,Hyundai,Hyundai Elite i20 Magna Plus BSIV,2019,610000,2000,Petrol,Manual,First,18,1197,5
259,Maruti,Maruti Swift Dzire VXI,2015,525000,20000,Petrol,Manual,First,20,1197,5
260,Toyota,Toyota Innova 2.5 GX 7 STR,2011,480000,120000,Diesel,Manual,First,12,2494,7
261,Mahindra,Mahindra Thar CRDe,2017,780000,35000,Diesel,Manual,First,16,2498,6
262,Maruti,Maruti Swift Dzire ZDi,2012,320000,193000,Diesel,Manual,First,19,1248,5
263,Maruti,Maruti Swift 1.2 DLX (Only Delhi),2014,375000,80000,Petrol,Manual,First,20,1197,5
264,Datsun,Datsun GO D Petrol,2019,300000,40000,Petrol,Manual,First,19,1198,5
265,Hyundai,Hyundai i20 Asta 1.4 CRDi,2015,500000,70000,Diesel,Manual,Fourth,22,1396,5
266,Mahindra,Mahindra Scorpio LX,2011,404000,122358,Diesel,Manual,First,12,2179,9
